project_id;name;author;url
1;La transfiguración;Rafael Sanzio;images/transfiguracion.png
2;Niños comiendo uvas y melón;Bartolomé Esteban Murillo;images/uvasmelon.jpg
3;La escuela de Atenas;Rafael Sanzio;images/escuelaatenas.webp
4;Mona Lisa;Leonardo da Vinci;images/mona-lisa.webp
5;Mona Lisa;Leonardo da Vinci;images/mona-lisa.webp
6;mo;m;m
7;me;m;m
8;m;m;m
9;m;m;m
10;k;k;k
11;l;l;l
12;pe;pe;pe
13;po;po;po
14;l;l;l
15;i;i;i
16;ui;ui;ui
24;b;b;b
27;qqqqqqqqqqqqqqqqqqqq;q;q
28;wwwwwwwwwwwwwwwwww;w;w
29;eeeeeeeeeeeeeeeeeee;e;e
